country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share,region,econ_class,gdp_2015_usd,gdp_2017_ppp,gdp_constant_lcu,gdp_current_usd
Afghanistan,2000,AFG,19542986,11283792896,0.01,0.001,1.047,-0.045,-4.078,0.205,-0.189,-48.07,0.01,0.018,0.035,0.054,0.093,0.177,0.004,0,,,,1.969,72.449,359.034,11.851,5.934,13.897,797.661,38.798,,302.595,0.524,0.022,0.001,0.224,0.011,0.727,0.605,-0.843,-0.043,9.56,0.489,3.48,0.178,0.788,0.04,,,5.914,0.001,0.004,0.001,0,0.011,0.007,0.021,0.002,0.053,0.011,0.115,0.011,,0.006,0.005,-0.016,0.008,,0.08,0,0,0.001,0,11.82,14.21,,,South Asia,Low income,0,0,0,0
Afghanistan,2001,AFG,19688634,11021273088,0.007,0,1.069,0.022,2.098,1.372,1.168,570.839,0.07,0.125,0.294,0.054,0.097,0.229,0.07,0.004,,,,1.975,73.519,360.406,11.921,5.956,14.106,797.964,39.56,,236.892,0.423,0.022,0.001,0.209,0.011,0.64,0.647,0.303,0.015,8.35,0.424,3.07,0.156,0.762,0.039,,,4.664,0.001,0.004,0.004,0.001,0.01,0.007,0.02,0.002,0.051,0.011,0.114,0.011,,0.007,0.004,0.006,0.007,,0.079,0,0,0.001,0,12.73,12.6,,,South Asia,Low income,0,0,0,0
Afghanistan,2002,AFG,21000258,18804871168,0.011,0.001,1.341,0.272,25.432,8.913,7.541,549.435,0.424,0.474,2.013,0.064,0.071,0.303,0.055,0.003,,,,1.986,74.86,369.32,11.976,5.956,14.653,805.536,40.288,,210.862,0.235,0,0,0.547,0.026,0.727,0.732,7.572,0.361,10.2,0.486,3.56,0.17,0.727,0.035,,,4.428,0.001,0.005,0.028,0.001,0.01,0.007,0.021,0.002,0.05,0.011,0.114,0.01,,0,0.011,0.141,0.007,,0.078,0,0,0.001,0,15.38,15.26,,,South Asia,Low income,7228795956,26890054382,4.87122E+11,3825701406
Afghanistan,2003,AFG,22645136,21074343936,0.01,0,1.56,0.219,16.302,5.332,-3.581,-40.178,0.235,0.253,1.024,0.069,0.074,0.299,0.092,0.004,,,,1.996,76.419,374.652,12.068,5.956,15.12,809.309,41.279,,229.968,0.247,0,0,0.466,0.021,0.705,0.71,3.773,0.167,10.51,0.464,3.69,0.163,0.992,0.044,,,5.208,0.001,0.006,0.016,0.001,0.01,0.007,0.02,0.002,0.048,0.011,0.114,0.01,,0,0.009,0.065,0.009,,0.078,0,0,0.001,0,16.08,15.96,,,South Asia,Low income,7867263298,29265058689,5.30146E+11,4520946849
Afghanistan,2004,AFG,23553554,22332571648,0.01,0,1.237,-0.322,-20.669,3.405,-1.927,-36.147,0.145,0.152,0.708,0.053,0.055,0.257,0.092,0.004,,,,2.006,77.656,378.057,12.159,5.956,15.347,811.476,42.188,,204.231,0.215,0,0,0.227,0.01,0.661,0.666,2.167,0.092,10.5,0.446,3.67,0.156,0.909,0.039,,,4.81,0.001,0.004,0.01,0.001,0.009,0.007,0.02,0.002,0.047,0.011,0.114,0.01,,0,0.004,0.04,0.008,,0.077,0,0,0.001,0,15.69,15.57,,,South Asia,Low income,7978515683,29678901146,5.37643E+11,5224896719
Afghanistan,2005,AFG,24411196,25397688320,0.006,0,1.89,0.652,52.719,3.055,-0.35,-10.267,0.125,0.12,0.497,0.077,0.074,0.307,0.106,0.004,,,,2.012,79.546,381.112,12.266,5.956,15.677,812.642,43.635,,252.069,0.242,0,0,0.33,0.014,0.682,0.687,1.166,0.048,10.73,0.44,3.82,0.156,1.447,0.059,,,6.153,0.001,0.006,0.009,0.001,0.009,0.007,0.02,0.002,0.046,0.011,0.113,0.01,,0,0.006,0.024,0.013,,0.077,0,0,0.001,0,16.76,16.64,,,South Asia,Low income,8874480241,33011757108,5.98019E+11,6203256497
Afghanistan,2006,AFG,25442946,28704401408,0.012,0,2.159,0.27,14.279,3.145,0.09,2.939,0.124,0.11,0.406,0.085,0.075,0.279,0.161,0.006,,,,2.024,81.705,384.257,12.427,5.956,16.006,813.628,45.292,,304.421,0.27,0,0,0.329,0.013,0.678,0.683,0.986,0.039,11.18,0.439,3.66,0.144,1.657,0.065,,,7.745,0.001,0.007,0.009,0.001,0.009,0.007,0.02,0.002,0.045,0.01,0.112,0.011,,0,0.006,0.019,0.015,,0.077,0,0,0.001,0,17.39,17.26,,,South Asia,Low income,9349921934,34780330056,6.30057E+11,6971758333
Afghanistan,2007,AFG,25903306,34507530240,0.012,0,2.8,0.641,29.666,3.52,0.375,11.933,0.136,0.102,0.384,0.108,0.081,0.305,0.747,0.029,,,,2.036,84.505,387.777,13.174,5.956,16.314,814.348,47.025,,354.28,0.266,0,0,0.308,0.012,0.703,0.708,0.72,0.028,11.61,0.448,3.6,0.139,1.733,0.067,,,9.177,0.001,0.009,0.01,0.006,0.008,0.007,0.02,0.002,0.044,0.01,0.112,0.011,,0,0.005,0.016,0.015,,0.077,0,0,0.001,0,18.34,18.22,,,South Asia,Low income,10642672018,39589169630,7.17171E+11,9747886105
Afghanistan,2008,AFG,26427204,36561043456,0.015,0.001,4.254,1.455,51.951,4.871,1.351,38.378,0.184,0.133,0.303,0.161,0.116,0.265,1.078,0.041,,,,2.051,88.76,392.648,14.252,5.956,16.611,814.965,49.889,,607.833,0.439,0,0,0.297,0.011,0.808,0.812,0.617,0.023,12.9,0.488,3.88,0.147,2.864,0.108,,,16.063,0.001,0.013,0.013,0.008,0.008,0.007,0.02,0.002,0.043,0.01,0.111,0.011,,0,0.005,0.013,0.026,,0.077,0,0,0.001,0,21.47,21.35,,,South Asia,Low income,11060395173,41143038133,7.4532E+11,10109296958
Afghanistan,2009,AFG,27385310,44358721536,0.013,0,6.392,2.137,50.239,6.897,2.026,41.586,0.252,0.155,0.258,0.233,0.144,0.239,1.514,0.055,,,,2.064,95.152,399.545,15.766,5.956,16.882,815.47,54.483,,975.048,0.602,0,0,0.271,0.01,0.888,0.892,0.505,0.018,13.39,0.489,4.16,0.152,4.594,0.168,,,26.702,0.001,0.02,0.019,0.012,0.008,0.007,0.02,0.003,0.042,0.01,0.11,0.012,,0,0.005,0.01,0.042,,0.078,0,0,0.001,0,24.44,24.31,,,South Asia,Low income,13426272143,49943751387,9.04748E+11,12416152648
